County,State FIPS,County Code,County FIPS,ZipCode,File Date,Neighborhood
Bronx,36,005,36005,10451,7/25/07,High Bridge and Morrisania
Bronx,36,005,36005,10452,7/25/07,High Bridge and Morrisania
Bronx,36,005,36005,10453,7/25/07,Central Bronx
Bronx,36,005,36005,10454,7/25/07,Hunts Point and Mott Haven
Bronx,36,005,36005,10455,7/25/07,Hunts Point and Mott Haven
Bronx,36,005,36005,10456,7/25/07,High Bridge and Morrisania
Bronx,36,005,36005,10457,7/25/07,Central Bronx
Bronx,36,005,36005,10458,7/25/07,Bronx Park and Fordham
Bronx,36,005,36005,10459,7/25/07,Hunts Point and Mott Haven
Bronx,36,005,36005,10460,7/25/07,Central Bronx
Bronx,36,005,36005,10461,7/25/07,Southeast Bronx
Bronx,36,005,36005,10462,7/25/07,Southeast Bronx
Bronx,36,005,36005,10463,7/25/07,Kingsbridge and Riverdale
Bronx,36,005,36005,10464,7/25/07,Southeast Bronx
Bronx,36,005,36005,10465,7/25/07,Southeast Bronx
Bronx,36,005,36005,10466,7/25/07,Northeast Bronx
Bronx,36,005,36005,10467,7/25/07,Bronx Park and Fordham
Bronx,36,005,36005,10468,7/25/07,Bronx Park and Fordham
Bronx,36,005,36005,10469,7/25/07,Northeast Bronx
Bronx,36,005,36005,10470,7/25/07,Northeast Bronx
Bronx,36,005,36005,10471,7/25/07,Kingsbridge and Riverdale
Bronx,36,005,36005,10472,7/25/07,Southeast Bronx
Bronx,36,005,36005,10473,7/25/07,Southeast Bronx
Bronx,36,005,36005,10474,7/25/07,Hunts Point and Mott Haven
Bronx,36,005,36005,10475,7/25/07,Northeast Bronx
Bronx,36,005,36005,10499,7/25/07,NA
Bronx,36,005,36005,10550,7/25/07,NA
Bronx,36,005,36005,10704,7/25/07,NA
Bronx,36,005,36005,10705,7/25/07,NA
Bronx,36,005,36005,10803,7/25/07,NA
Kings,36,047,36047,11201,7/25/07,Northwest Brooklyn
Kings,36,047,36047,11202,7/25/07,NA
Kings,36,047,36047,11203,7/25/07,Flatbush
Kings,36,047,36047,11204,7/25/07,Borough Park
Kings,36,047,36047,11205,7/25/07,Northwest Brooklyn
Kings,36,047,36047,11206,7/25/07,Bushwick and Williamsburg
Kings,36,047,36047,11207,7/25/07,East New York and New Lots
Kings,36,047,36047,11208,7/25/07,East New York and New Lots
Kings,36,047,36047,11209,7/25/07,Southwest Brooklyn
Kings,36,047,36047,11210,7/25/07,Flatbush
Kings,36,047,36047,11211,7/25/07,Greenpoint
Kings,36,047,36047,11212,7/25/07,Central Brooklyn
Kings,36,047,36047,11213,7/25/07,Central Brooklyn
Kings,36,047,36047,11214,7/25/07,Southwest Brooklyn
Kings,36,047,36047,11215,7/25/07,Northwest Brooklyn
Kings,36,047,36047,11216,7/25/07,Central Brooklyn
Kings,36,047,36047,11217,7/25/07,Northwest Brooklyn
Kings,36,047,36047,11218,7/25/07,Borough Park
Kings,36,047,36047,11219,7/25/07,Borough Park
Kings,36,047,36047,11220,7/25/07,Sunset Park
Kings,36,047,36047,11221,7/25/07,Bushwick and Williamsburg
Kings,36,047,36047,11222,7/25/07,Greenpoint
Kings,36,047,36047,11223,7/25/07,Southern Brooklyn
Kings,36,047,36047,11224,7/25/07,Southern Brooklyn
Kings,36,047,36047,11225,7/25/07,Flatbush
Kings,36,047,36047,11226,7/25/07,Flatbush
Kings,36,047,36047,11228,7/25/07,Southwest Brooklyn
Kings,36,047,36047,11229,7/25/07,Southern Brooklyn
Kings,36,047,36047,11230,7/25/07,Borough Park
Kings,36,047,36047,11231,7/25/07,Northwest Brooklyn
Kings,36,047,36047,11232,7/25/07,Sunset Park
Kings,36,047,36047,11233,7/25/07,Central Brooklyn
Kings,36,047,36047,11234,7/25/07,Canarsie and Flatlands
Kings,36,047,36047,11235,7/25/07,Southern Brooklyn
Kings,36,047,36047,11236,7/25/07,Canarsie and Flatlands
Kings,36,047,36047,11237,7/25/07,Bushwick and Williamsburg
Kings,36,047,36047,11238,7/25/07,Central Brooklyn
Kings,36,047,36047,11239,7/25/07,Canarsie and Flatlands
Kings,36,047,36047,11241,7/25/07,NA
Kings,36,047,36047,11242,7/25/07,NA
Kings,36,047,36047,11243,7/25/07,NA
Kings,36,047,36047,11245,7/25/07,NA
Kings,36,047,36047,11247,7/25/07,NA
Kings,36,047,36047,11249,7/25/07,NA
Kings,36,047,36047,11251,7/25/07,NA
Kings,36,047,36047,11252,7/25/07,NA
Kings,36,047,36047,11256,7/25/07,NA
Kings,36,047,36047,11693,7/25/07,Rockaways
New York,36,061,36061,10001,7/25/07,Chelsea and Clinton
New York,36,061,36061,10002,7/25/07,Lower East Side
New York,36,061,36061,10003,7/25/07,Lower East Side
New York,36,061,36061,10004,7/25/07,Lower Manhattan
New York,36,061,36061,10005,7/25/07,Lower Manhattan
New York,36,061,36061,10006,7/25/07,Lower Manhattan
New York,36,061,36061,10007,7/25/07,Lower Manhattan
New York,36,061,36061,10008,7/25/07,NA
New York,36,061,36061,10009,7/25/07,Lower East Side
New York,36,061,36061,10010,7/25/07,Gramercy Park and Murray Hill
New York,36,061,36061,10011,7/25/07,Chelsea and Clinton
New York,36,061,36061,10012,7/25/07,Greenwich Village and Soho
New York,36,061,36061,10013,7/25/07,Greenwich Village and Soho
New York,36,061,36061,10014,7/25/07,Greenwich Village and Soho
New York,36,061,36061,10016,7/25/07,Gramercy Park and Murray Hill
New York,36,061,36061,10017,7/25/07,Gramercy Park and Murray Hill
New York,36,061,36061,10018,7/25/07,Chelsea and Clinton
New York,36,061,36061,10019,7/25/07,Chelsea and Clinton
New York,36,061,36061,10020,7/25/07,Chelsea and Clinton
New York,36,061,36061,10021,7/25/07,Upper East Side
New York,36,061,36061,10022,7/25/07,Gramercy Park and Murray Hill
New York,36,061,36061,10023,7/25/07,Upper West Side
